date,requestMessage,from,to,uuid,conversation_uuid,status,direction,timestamp,start_time,end_time,duration,rate,price,network,timed_out,dtmf,press1_message_sent,intro_sent_datetime,last_response_sent,encoded_id
7/12/2019 11:36,NEW INCOMING REQUEST VARIABLES RECEIVED: Array,12013771480,12013775906,c2949058e7ab54c71b73ca31a7dbf7c6,CON-6eae6fae-1a6e-4aab-ab29-a7fcad10e486,ringing,inbound,2019-07-12T17:36:27.872Z,-,-,-,-,-,-,-,-,-,-,-,-
7/12/2019 11:36,NEW INCOMING REQUEST VARIABLES RECEIVED: Array,12013771480,12013775906,c2949058e7ab54c71b73ca31a7dbf7c6,CON-6eae6fae-1a6e-4aab-ab29-a7fcad10e486,started,inbound,2019-07-12T17:36:27.872Z,-,-,-,-,-,-,-,-,-,-,-,-
7/12/2019 11:36,VOICE CALL RECEIVED TO FUNNEL ID 1257!,,,,,,,,,,,,,,,,,,,
7/12/2019 11:36,VOICE CALL RECEIVED TO FUNNEL ID 1257!,,,,,,,,,,,,,,,,,,,
7/12/2019 11:36,NEW INCOMING REQUEST VARIABLES RECEIVED: Array,12013771480,12013775906,c2949058e7ab54c71b73ca31a7dbf7c6,CON-6eae6fae-1a6e-4aab-ab29-a7fcad10e486,answered,inbound,2019-07-12T17:36:28.284Z,Missing,-,-,Missing,-,Missing,-,-,-,-,-,-
7/12/2019 11:36,VOICE CALL RECEIVED TO FUNNEL ID 1257!,,,,,,,,,,,,,,,,,,,
7/12/2019 11:36,NEW INCOMING REQUEST VARIABLES RECEIVED: Array,12013771480,12013775906,c2949058e7ab54c71b73ca31a7dbf7c6,CON-6eae6fae-1a6e-4aab-ab29-a7fcad10e486,completed,inbound,2019-07-12T17:36:39.417Z,2019-07-12T17:36:28.000Z,2019-07-12T17:36:40.000Z,12,0.0045,0.0009,US-FIXED,-,-,-,-,-,-
7/12/2019 11:36,VOICE CALL RECEIVED TO FUNNEL ID 1257!,,,,,,,,,,,,,,,,,,,
7/12/2019 11:36,NEW INCOMING REQUEST VARIABLES RECEIVED:,,,,,,,,,,,,,,,,,,,
7/12/2019 11:36,VOICE CALL RECEIVED TO FUNNEL ID !,,,,,,,,,,,,,,,,,,,
